name_content,org_title,last_eps,year,category,actors,emberUrlFull,serverstr,pathcode,note,img,from,src
Tiến Lên – Moving On,,HD,Năm: 2023,"Thể loại: Phim Hài Hước, Phim Lẻ, Phim Lẻ Mới",Quốc gia:Mỹ,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=4ZA9cZpqa, Server #HYDRAX ,tien-len-moving-on-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/649d9cf4bf5e8.jpg,https://phimgihd.net/tien-len-moving-on/,phimgihd
Bật Bảng! – Rebound,,HD,Năm: 2023,"Thể loại: PHIM BOM TẤN - CHIẾU RẠP, Phim Lẻ, Phim Lẻ Mới, Phim Tâm Lý, Phim Thể Thao-Âm Nhạc",Quốc gia:Hàn Quốc,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=6-mVzdLFs, Server #HYDRAX ,bat-bang-rebound-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/649d9c436784a.jpg,https://phimgihd.net/bat-bang-rebound/,phimgihd
Hiệp Sĩ Hoàng Đạo – Knights of the Zodiac,,HD,Năm: 2023,"Thể loại: Phim Hành Động, Phim Lẻ, Phim Lẻ Mới, Phim Netflix, Phim Tâm Lý",Quốc gia:Mỹ,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=h1UmpNCLFp, Server #HYDRAX ,hiep-si-hoang-dao-knights-of-the-zodiac-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/649d9ba80f311.jpg,https://phimgihd.net/hiep-si-hoang-dao-knights-of-the-zodiac/,phimgihd
George Foreman Hành Trình Vĩ Đại – Big George Foreman,,HD,Năm: 2023,"Thể loại: Phim Lẻ, Phim Lẻ Mới, Phim Tâm Lý, Phim Thể Thao-Âm Nhạc",Quốc gia:Mỹ,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=06dP1gOkQpv, Server #HYDRAX ,george-foreman-hanh-trinh-vi-dai-big-george-foreman-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/649d9af8eb446.jpg,https://phimgihd.net/george-foreman-hanh-trinh-vi-dai-big-george-foreman/,phimgihd
Chạy Đi Thỏ Con – Run Rabbit Run,,HD,Năm: 2023,"Thể loại: Phim Hồi Hộp-Gây Cấn, Phim Kinh Dị, Phim Lẻ, Phim Lẻ Mới, Phim Netflix",Quốc gia:Mỹ,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=rb6FbOJ-F, Server #HYDRAX ,chay-di-tho-con-run-rabbit-run-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/649d9ac61e628.jpg,https://phimgihd.net/chay-di-tho-con-run-rabbit-run/,phimgihd
Về Cha Của Tôi – About My Father,,HD,Năm: 2023,"Thể loại: Phim Hài Hước, Phim Lẻ, Phim Lẻ Mới",Quốc gia:Mỹ,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=0_wOEXQj-, Server #HYDRAX ,ve-cha-cua-toi-about-my-father-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/6499ac7f7718a.jpg,https://phimgihd.net/ve-cha-cua-toi-about-my-father/,phimgihd
Hồi Ức Đen Tối – The Machine,,HD,Năm: 2023,"Thể loại: Phim Hài Hước, Phim Hành Động, Phim Lẻ, Phim Lẻ Mới",Quốc gia:Mỹ,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=1gt_sWJnb, Server #HYDRAX ,hoi-uc-den-toi-the-machine-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/6499abdd88fe4.jpg,https://phimgihd.net/hoi-uc-den-toi-the-machine/,phimgihd
Người Hùng Tia Chớp – The Flash,,CAM,,"Thể loại: PHIM BOM TẤN - CHIẾU RẠP, Phim Hành Động, Phim Hồi Hộp-Gây Cấn, Phim Lẻ, Phim Lẻ Mới, Phim Viễn Tưởng",,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=3Gi2fkfzk, Server #HYDRAX ,nguoi-hung-tia-chop-the-flash-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/64932ef98ed81.jpg,https://phimgihd.net/nguoi-hung-tia-chop-the-flash/,phimgihd
Sơn Thôn Lữ Điếm – The Haunting 3,,HD,Năm: 2023,"Thể loại: Phim Hồi Hộp-Gây Cấn, Phim Kinh Dị, Phim Lẻ, Phim Lẻ Mới",Quốc gia:Trung Quốc,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=PgohrTIvT, Server #HYDRAX ,son-thon-lu-diem-the-haunting-3-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/6496b458c15c8.jpg,https://phimgihd.net/son-thon-lu-diem-the-haunting-3/,phimgihd
Surrounded – Surrounded,,HD,Năm: 2023,"Thể loại: Phim Hành Động, Phim Lẻ, Phim Lẻ Mới",Quốc gia:Mỹ,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=q0WRLP-Tp, Server #HYDRAX ,surrounded-surrounded-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/6496b43239b0c.jpg,https://phimgihd.net/surrounded-surrounded/,phimgihd
Qua Ô Cửa Sổ: Bên Kia Đại Dương – Through My Window: Across the Sea,,HD,Năm: 2023,"Thể loại: Phim Hài Hước, Phim Lẻ, Phim Lẻ Mới, Phim Netflix, Phim Tâm Lý, Phim Tình Cảm-Lãng Mạn",Quốc gia:Tây Ban Nha,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=YudojLN64, Server #HYDRAX ,qua-o-cua-so-ben-kia-dai-duong-through-my-window-across-the-sea-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/6496b33104a14.jpg,https://phimgihd.net/qua-o-cua-so-ben-kia-dai-duong-through-my-window-across-the-sea/,phimgihd
Phát Hiện Hoàn Hảo – The Perfect Find,,HD,Năm: 2023,"Thể loại: Phim Hài Hước, Phim Lẻ, Phim Lẻ Mới, Phim Netflix, Phim Tâm Lý, Phim Tình Cảm-Lãng Mạn",Quốc gia:Mỹ,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=M-7xRZTgdQ, Server #HYDRAX ,phat-hien-hoan-hao-the-perfect-find-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/6496b2ecc3e08.jpg,https://phimgihd.net/phat-hien-hoan-hao-the-perfect-find/,phimgihd
iNumber Number: Vàng Johannesburg – iNumber Number: Jozi Gold,,HD,Năm: 2023,"Thể loại: Phim Hành Động, Phim Hình Sự, Phim Lẻ, Phim Lẻ Mới, Phim Netflix",Quốc gia:Mỹ,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=DNQVoHuQn, Server #HYDRAX ,inumber-number-vang-johannesburg-inumber-number-jozi-gold-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/6496b2abf134e.jpg,https://phimgihd.net/inumber-number-vang-johannesburg-inumber-number-jozi-gold/,phimgihd
Hãy Khiến Em Tin Anh – Make Me Believe,,HD,Năm: 2023,"Thể loại: Phim Lẻ, Phim Lẻ Mới, Phim Netflix, Phim Tình Cảm-Lãng Mạn",Quốc gia:Thổ Nhĩ Kỳ,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=tEkWdf6iX, Server #HYDRAX ,hay-khien-em-tin-anh-make-me-believe-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/6496b1fb4cb5f.jpg,https://phimgihd.net/hay-khien-em-tin-anh-make-me-believe/,phimgihd
Hosto – Hosto,,HD,Năm: 2023,"Thể loại: Phim Lẻ, Phim Lẻ Mới, Phim Tâm Lý",Quốc gia:Philippines,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=e5CDSqDGJr, Server #HYDRAX ,hosto-hosto-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/6496b19eaf2a7.jpg,https://phimgihd.net/hosto-hosto/,phimgihd
Quái Vật Biển Sâu – The Sea Monster,,HD,Năm: 2023,"Thể loại: Phim Hồi Hộp-Gây Cấn, Phim Kinh Dị, Phim Lẻ, Phim Lẻ Mới",Quốc gia:Trung Quốc,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=tLAEL9vnq, Server #HYDRAX ,quai-vat-bien-sau-the-sea-monster-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/64932eaf469fd.jpg,https://phimgihd.net/quai-vat-bien-sau-the-sea-monster/,phimgihd
Cuộc Cách Mạng Của Chúa – Jesus Revolution,,HD,Năm: 2023,"Thể loại: Phim Lẻ, Phim Lẻ Mới, Phim Tâm Lý",Quốc gia:Mỹ,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=h7uoau6KX, Server #HYDRAX ,cuoc-cach-mang-cua-chua-jesus-revolution-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/64932e8adcbc7.jpg,https://phimgihd.net/cuoc-cach-mang-cua-chua-jesus-revolution/,phimgihd
